	Tissue
GTEX-13OW7-0011-R3a-SM-5O9DA	Brain - Anterior cingulate cortex (BA24)
GTEX-1192X-3226-SM-5987D	Brain - Cerebellum
GTEX-14ABY-0011-R7b-SM-5PNWS	Brain - Putamen (basal ganglia)
GTEX-13CIG-0011-R3b-SM-5K7XF	Brain - Anterior cingulate cortex (BA24)
GTEX-1EU9M-0011-R2b-SM-9QEH7	Brain - Substantia nigra
GTEX-14C5O-0011-R8a-SM-5YYAG	Brain - Hypothalamus
GTEX-N7MS-0011-R1a-SM-2HMJG	Brain - Hippocampus
GTEX-1GZ4I-0011-R5a-SM-9OSWQ	Brain - Caudate (basal ganglia)
GTEX-13JUV-2926-SM-5LZX7	Brain - Cortex
GTEX-1A3MX-0011-R8a-SM-7P8PI	Brain - Hypothalamus
GTEX-17HHY-0011-R3a-SM-7EWDK	Brain - Anterior cingulate cortex (BA24)
GTEX-1C6VR-0011-R6a-SM-7MXU8	Brain - Nucleus accumbens (basal ganglia)
GTEX-11EI6-2926-SM-5985U	Brain - Cerebellum
GTEX-13SLW-0011-R10a-SM-5S2UI	Brain - Frontal Cortex (BA9)
GTEX-NPJ8-0011-R5a-SM-2HMJY	Brain - Caudate (basal ganglia)
GTEX-1GTWX-0011-R2b-SM-ADEH5	Brain - Substantia nigra
GTEX-12ZZW-0011-R4a-SM-5DUX9	Brain - Amygdala
GTEX-1I1GS-0011-R1a-SM-CJI43	Brain - Hippocampus
GTEX-1F52S-0011-R11a-SM-CJI23	Brain - Cerebellar Hemisphere
GTEX-13NYB-0011-R2a-SM-5MR3C	Brain - Substantia nigra
GTEX-QVUS-0011-R3A-SM-3GAFD	Brain - Anterior cingulate cortex (BA24)
GTEX-147GR-0011-R10b-SM-5S2UM	Brain - Frontal Cortex (BA9)
GTEX-11DYG-0011-R7b-SM-EXUS6	Brain - Putamen (basal ganglia)
GTEX-15DYW-3026-SM-7KFRM	Brain - Cerebellum
GTEX-11WQC-0011-R8b-SM-57WCH	Brain - Hypothalamus
GTEX-17HII-0011-R5a-SM-7LG51	Brain - Caudate (basal ganglia)
GTEX-1B8L1-3026-SM-7EPHK	Brain - Cortex
GTEX-11ONC-0011-R5b-SM-DO93I	Brain - Caudate (basal ganglia)
GTEX-11GSP-0011-R5a-SM-57WBE	Brain - Caudate (basal ganglia)
GTEX-16Z82-0011-R6a-SM-7IGLV	Brain - Nucleus accumbens (basal ganglia)
GTEX-14PQA-0011-R8b-SM-6AJAB	Brain - Hypothalamus
GTEX-11GSP-0011-R10a-SM-5NQ7J	Brain - Frontal Cortex (BA9)
GTEX-1GN1U-0011-R6a-SM-CKZNO	Brain - Nucleus accumbens (basal ganglia)
GTEX-1I1GV-0011-R6b-SM-ARU6Q	Brain - Nucleus accumbens (basal ganglia)
GTEX-11TUW-0011-R2b-SM-DO92T	Brain - Substantia nigra
GTEX-NL3H-0011-R5a-SM-2I3GB	Brain - Caudate (basal ganglia)
GTEX-1GTWX-0011-R9a-SM-ADEH4	Brain - Spinal cord (cervical c-1)
GTEX-1EN7A-0011-R6b-SM-9QEHW	Brain - Nucleus accumbens (basal ganglia)
GTEX-13PVQ-0011-R11a-SM-5O9DU	Brain - Cerebellar Hemisphere
GTEX-1GTWX-0011-R3b-SM-CJI2Z	Brain - Anterior cingulate cortex (BA24)
GTEX-1B996-0011-R7b-SM-7IGNT	Brain - Putamen (basal ganglia)
GTEX-14PN4-0011-R7b-SM-69LQQ	Brain - Putamen (basal ganglia)
GTEX-17EVP-0011-R1a-SM-7DHLA	Brain - Hippocampus
GTEX-1LSNL-0011-R9b-SM-EYYWK	Brain - Spinal cord (cervical c-1)
GTEX-1HT8W-0011-R6a-SM-CM2SY	Brain - Nucleus accumbens (basal ganglia)
GTEX-1GN73-0011-R8b-SM-CKZNY	Brain - Hypothalamus
GTEX-S7SE-2526-SM-2XCDL	Brain - Cerebellum
GTEX-15DYW-0011-R6b-SM-6PALA	Brain - Nucleus accumbens (basal ganglia)
GTEX-1GZ2Q-0011-R5a-SM-A96RQ	Brain - Caudate (basal ganglia)
GTEX-14LZ3-0011-R6a-SM-D3L8C	Brain - Nucleus accumbens (basal ganglia)
GTEX-1A8G6-0011-R5b-SM-7IGQG	Brain - Caudate (basal ganglia)
GTEX-1HB9E-0011-R11b-SM-ARU79	Brain - Cerebellar Hemisphere
GTEX-14C39-0011-R11b-SM-5YYAF	Brain - Cerebellar Hemisphere
GTEX-13X6J-0011-R10b-SM-5PNWA	Brain - Frontal Cortex (BA9)
GTEX-1H23P-0011-R4b-SM-CL54R	Brain - Amygdala
GTEX-16XZZ-3026-SM-79OMJ	Brain - Cortex
GTEX-16NPV-0011-R9b-SM-79ONF	Brain - Spinal cord (cervical c-1)
GTEX-13FLV-0011-R6a-SM-5KLZ4	Brain - Nucleus accumbens (basal ganglia)
GTEX-1HT8W-0011-R5b-SM-CJI3P	Brain - Caudate (basal ganglia)
GTEX-17HHY-0011-R7a-SM-718A1	Brain - Putamen (basal ganglia)
GTEX-1ICLZ-0011-R1b-SM-A9SM3	Brain - Hippocampus
GTEX-12ZZW-0011-R5a-SM-5DUVN	Brain - Caudate (basal ganglia)
GTEX-13VXU-0011-R5a-SM-5O9D7	Brain - Caudate (basal ganglia)
GTEX-17HHY-2926-SM-79OJW	Brain - Cerebellum
GTEX-WZTO-0011-R1B-SM-3NMAR	Brain - Hippocampus
GTEX-13SLX-3226-SM-5YYA6	Brain - Cerebellum
GTEX-1HBPI-2826-SM-ARZNO	Brain - Cortex
GTEX-WL46-0011-R9A-SM-3MJFP	Brain - Spinal cord (cervical c-1)
GTEX-16XZZ-0011-R6a-SM-7IGNE	Brain - Nucleus accumbens (basal ganglia)
GTEX-1B8L1-0011-R9b-SM-9WG5U	Brain - Spinal cord (cervical c-1)
GTEX-1E1VI-0011-R3a-SM-9OSWH	Brain - Anterior cingulate cortex (BA24)
GTEX-11WQK-0011-R9b-SM-5BC6N	Brain - Spinal cord (cervical c-1)
GTEX-ZVT3-3026-SM-5E43N	Brain - Cortex
